User-ID,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Location,Age
276721,590442449,10,Fourth Grade Rats,Jerry Spinelli,1996.0,Scholastic,http://images.amazon.com/images/P/0590442449.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590442449.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590442449.01.LZZZZZZZ.jpg,"providence, rhode island, usa",14
78673,044022814X,10,Where the Red Fern Grows: The Story of Two Dogs and a Boy,Wilson Rawls,1998.0,Yearling Books,http://images.amazon.com/images/P/044022814X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044022814X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044022814X.01.LZZZZZZZ.jpg,"tulsa, tasmania, usa",32
78722,60952970,10,Ophelia Speaks : Adolescent Girls Write About Their Search for Self,Sara Shandler,1999.0,Perennial,http://images.amazon.com/images/P/0060952970.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060952970.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060952970.01.LZZZZZZZ.jpg,"lakeland, florida, usa",18
230522,517194600,10,The Wit and Wisdom of Oscar Wilde,RALPH KEYES,1999.0,Gramercy,http://images.amazon.com/images/P/0517194600.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0517194600.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0517194600.01.LZZZZZZZ.jpg,"colorado springs, colorado, usa",52
230522,553211668,10,Candide (Candide),Francois M. Voltaire,1984.0,Bantam,http://images.amazon.com/images/P/0553211668.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553211668.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553211668.01.LZZZZZZZ.jpg,"colorado springs, colorado, usa",52
230522,055321313X,10,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1982.0,Bantam Classics,http://images.amazon.com/images/P/055321313X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/055321313X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/055321313X.01.LZZZZZZZ.jpg,"colorado springs, colorado, usa",52
78719,446603775,10,Dawn (Xenogenesis),Octavia E. Butler,1997.0,Warner Books,http://images.amazon.com/images/P/0446603775.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446603775.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446603775.01.LZZZZZZZ.jpg,"blacksburg, virginia, usa",21
230522,553213148,10,Anne of Avonlea (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1984.0,Bantam Classics,http://images.amazon.com/images/P/0553213148.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553213148.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553213148.01.LZZZZZZZ.jpg,"colorado springs, colorado, usa",52
230522,553213164,10,Anne of Windy Poplars (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1983.0,Bantam Classics,http://images.amazon.com/images/P/0553213164.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553213164.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553213164.01.LZZZZZZZ.jpg,"colorado springs, colorado, usa",52
78673,590920685,10,Ella Enchanted,Gail Carson Levine,1997.0,Scholastic Books,http://images.amazon.com/images/P/0590920685.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590920685.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590920685.01.LZZZZZZZ.jpg,"tulsa, tasmania, usa",32
